SimilarityPct,Similarity,TimeSec,Code,QueryNodes,ResultSize,K,ComponentId
70,0.7,9.012,14,449 603 750 824 876 891,18,1,33
70,0.7,9.012,15,248 372 594 634 635 876,6,1,33
70,0.7,9.012,16,449 603 634 713 915 958,17,1,33
70,0.7,9.012,17,70 372 594 634 635 876,6,1,33
70,0.7,9.012,18,449 634 637 838 876 1004,21,1,33
70,0.7,9.012,19,372 414 594 603 634 635,9,1,33
80,0.8,8.36,0,372 414 431 449 634 635,6,1,33
80,0.8,8.36,1,634 780 830 876 902 1002,17,1,33
80,0.8,8.36,2,70 372 433 594 634 830,6,1,33
80,0.8,8.36,3,449 561 622 712 830 876,19,1,33
80,0.8,8.36,4,75 134 248 372 603 830,6,1,33
80,0.8,8.36,5,372 414 433 594 603 876,9,1,33
80,0.8,8.36,6,449 561 620 634 876 916,17,1,33
80,0.8,8.36,7,372 414 433 449 594 603,9,1,33
80,0.8,8.36,8,436 603 830 876 897 910,20,1,33
80,0.8,8.36,9,248 372 433 449 594 603,6,1,33
80,0.8,8.36,10,603 634 763 876 902 945,16,1,33
80,0.8,8.36,11,372 414 431 452 603 830,6,1,33
80,0.8,8.36,12,372 414 433 449 634 635,9,1,33
80,0.8,8.36,13,70 372 452 594 603 830,6,1,33
80,0.8,8.36,14,449 603 750 824 876 891,18,1,33
80,0.8,8.36,15,248 372 594 634 635 876,6,1,33
80,0.8,8.36,16,449 603 634 713 915 958,17,1,33
80,0.8,8.36,17,70 372 594 634 635 876,6,1,33
80,0.8,8.36,18,449 634 637 838 876 1004,21,1,33
80,0.8,8.36,19,372 414 594 603 634 635,6,1,33
90,0.9,8.32,0,372 414 431 449 634 635,6,1,33
90,0.9,8.32,1,634 780 830 876 902 1002,17,1,33
90,0.9,8.32,2,70 372 433 594 634 830,6,1,33
90,0.9,8.32,3,449 561 622 712 830 876,19,1,33
90,0.9,8.32,4,75 134 248 372 603 830,6,1,33
90,0.9,8.32,5,372 414 433 594 603 876,7,1,33
90,0.9,8.32,6,449 561 620 634 876 916,17,1,33
90,0.9,8.32,7,372 414 433 449 594 603,7,1,33
90,0.9,8.32,8,436 603 830 876 897 910,20,1,33
90,0.9,8.32,9,248 372 433 449 594 603,6,1,33
90,0.9,8.32,10,603 634 763 876 902 945,16,1,33
90,0.9,8.32,11,372 414 431 452 603 830,6,1,33
90,0.9,8.32,12,372 414 433 449 634 635,6,1,33
90,0.9,8.32,13,70 372 452 594 603 830,6,1,33
90,0.9,8.32,14,449 603 750 824 876 891,18,1,33
90,0.9,8.32,15,248 372 594 634 635 876,6,1,33
90,0.9,8.32,16,449 603 634 713 915 958,17,1,33
90,0.9,8.32,17,70 372 594 634 635 876,6,1,33
90,0.9,8.32,18,449 634 637 838 876 1004,21,1,33
90,0.9,8.32,19,372 414 594 603 634 635,6,1,33
